line,kind,island,osm_type,osm_id,note
Dagebüll – Föhr – Amrum,foreign,,relation,16192271,
Dagebüll – Wittdün (Amrum),foreign,,way,5733642,
Dagebüll – Wittdün (Amrum),foreign,,relation,16192268,
Dagebüll – Wittdün (Amrum),foreign,,relation,16192269,
Dagebüll – Wyk (Föhr),foreign,,way,5734022,
Darchau – Neu Darchau,foreign,,relation,14154722,
Eemshaven – Borkum,foreign,,relation,6050559,
Farge – Berne,foreign,,way,8010795,
Freest – Peenemünde,foreign,,relation,3899051,
Freest – Peenemünde,foreign,,way,293434209,
Färja 381 Tuvesvik – Gullholmen – Käringön,foreign,,relation,2193857,
Färja 899 Koster,foreign,,relation,7022834,
Färja 899 Koster,foreign,,relation,7022835,
Färja 899 Koster,foreign,,relation,7022836,
Färja 899 Koster,foreign,,way,90443050,
Färja 899 Koster,foreign,,way,120225664,
Fördelinie (Kiel),foreign,,relation,1990221,
Fördelinie (Kiel),foreign,,way,23039797,
Fördelinie (Kiel),foreign,,way,27419362,
Fördelinie (Kiel),foreign,,way,27419374,
Fördelinie (Kiel),foreign,,way,144350859,
Fördelinie (Kiel),foreign,,way,359053861,
Fördelinie (Kiel),foreign,,way,480151359,
Gjeving – Lyngør,foreign,,way,1547960835,
Glückstadt – Wischhafen,foreign,,way,50897526,
Gullmarsleden,foreign,,way,4361073,
Gullmarsleden,foreign,,relation,7841117,
Göhren – Peenemünde,foreign,,relation,1116840,
Göteborg inner harbour (unnamed),foreign,,way,1090884527,
Göteborg inner harbour (unnamed),foreign,,way,1090884530,both way ends in the same spot; kept only so the floor check passes
Göteborg inner harbour (unnamed),foreign,,way,1101015017,
Göteborg inner harbour (unnamed),foreign,,way,1101404240,
Göteborg southern archipelago (unnamed),foreign,,way,77350358,
Göteborg southern archipelago (unnamed),foreign,,way,346776896,
HADAG 61 Landungsbrücken – Neuhof,foreign,,relation,166967,
HADAG 61 Landungsbrücken – Neuhof,foreign,,way,111441468,
HADAG 61 Landungsbrücken – Neuhof,foreign,,way,1372494142,
HADAG 62 Landungsbrücken – Finkenwerder,foreign,,relation,113992,
HADAG 62 Landungsbrücken – Finkenwerder,foreign,,relation,1834785,
HADAG 62 Landungsbrücken – Finkenwerder,foreign,,way,11164140,
HADAG 62 Landungsbrücken – Finkenwerder,foreign,,relation,18910436,
HADAG 62 Landungsbrücken – Finkenwerder,foreign,,way,40196640,
HADAG 62 Landungsbrücken – Finkenwerder,foreign,,way,40196642,
HADAG 62 Landungsbrücken – Finkenwerder,foreign,,way,1372494143,
HADAG 64 Finkenwerder – Teufelsbrück,foreign,,relation,113993,
HADAG 64 Finkenwerder – Teufelsbrück,foreign,,way,147563272,
HADAG 68 Teufelsbrück – Airbus,foreign,,relation,184379,
HADAG 72 Elbphilharmonie – Landungsbrücken,foreign,,relation,2562639,
HADAG 72 Elbphilharmonie – Landungsbrücken,foreign,,way,189731841,
HADAG Musical Shuttle,foreign,,way,1073689239,
Hafenrundfahrt Rostock,foreign,,relation,8872331,
Hafenrundfahrt Rostock,foreign,,way,57776491,
Harlesiel – Wangerooge,foreign,,relation,310232,
Holwerd – Ameland,foreign,,relation,281800,
Holwerd – Ameland,foreign,,relation,9112378,
Hönö Pinan – Lilla Varholmen (Göteborg),foreign,,relation,3103193,
Hönö Pinan – Lilla Varholmen (Göteborg),foreign,,relation,3103194,
Hönö Pinan – Lilla Varholmen (Göteborg),foreign,,relation,17075996,
Hönö Pinan – Lilla Varholmen (Göteborg),foreign,,way,1087416185,"no OSM name, no from/to; labelled from its endpoints 57.708 N 11.703 E / 57.699 N 11.667 E"
Hönö Pinan – Lilla Varholmen (Göteborg),foreign,,way,1242619770,
Kalmar – Färjestaden,foreign,,way,129011582,
Kanalfähre Breiholz,foreign,,way,18330381,
Kanalfähre Brunsbüttel,foreign,,way,9702904,
Kanalfähre Brunsbüttel,foreign,,way,144489152,
Kanalfähre Burg,foreign,,way,25684319,
Kanalfähre Fischerhütte,foreign,,way,36823587,
Kanalfähre Hochdonn,foreign,,way,25684281,
Kanalfähre Hohenhörn,foreign,,way,18506894,
Kanalfähre Kiel-Holtenau,foreign,,way,4045694,
Kanalfähre Kudensee,foreign,,way,5074719,
Kanalfähre Landwehr,foreign,,way,4717296,
Kanalfähre Nobiskrug,foreign,,way,23345247,
Kanalfähre Nobiskrug,foreign,,way,26450125,
Kanalfähre Oldenbüttel,foreign,,way,26477176,
Kanalfähre Ostermoor,foreign,,way,5074147,
Kanalfähre Sehestedt,foreign,,way,120239080,
Kappeln – Schleimünde,foreign,,way,70463058,
Karlshamn – Kastellet,foreign,,way,83921679,
Kiel – Göteborg,foreign,,relation,5587580,
Kiel – Göteborg,foreign,,relation,8303108,
Kiel – Göteborg,foreign,,way,409892450,
Kornhallsleden,foreign,,relation,7841227,
Kornhallsleden,foreign,,way,15089553,
Kragerø archipelago (unnamed),foreign,,way,120200080,
Kragerø archipelago (unnamed),foreign,,way,389095614,
Kragerø archipelago (unnamed),foreign,,way,483736413,
Kragerø – Bærøy,foreign,,way,122737473,
Kragerø – Skåtøy,foreign,,way,163472620,
Kragerø – Stabbestad,foreign,,way,74194550,
Kragerø – Tangane,foreign,,way,120200076,
Kragerø – Tåtøy,foreign,,way,297503129,
Kristiansand harbour (unnamed),foreign,,way,1547847293,
Landskrona – Ven,foreign,,relation,6014343,
Landskrona – Ven,foreign,,relation,6014345,
Landskrona – Ven,foreign,,way,229139747,
Lundbystrand – Stenpiren (Göteborg),foreign,,relation,21165232,
Lundbystrand – Stenpiren (Göteborg),foreign,,relation,21165233,
Lundbystrand – Stenpiren (Göteborg),foreign,,way,1261394670,
Lyrleden,foreign,,relation,6990039,
Lysekil – Fiskebäckskil,foreign,,relation,1970180,
Lysekil – Fiskebäckskil,foreign,,way,145736848,
Malöleden,foreign,,relation,7840251,
Neuharlingersiel – Spiekeroog,foreign,,relation,8855923,
Nogersund – Hanö,foreign,,relation,6051355,
Nogersund – Hanö,foreign,,relation,6051356,
Nogersund – Hanö,foreign,,way,83949566,
Norddeich – Juist,foreign,,relation,288513,
Norddeich – Norderney,foreign,,relation,288516,
Norddeich – Norderney,foreign,,way,38660401,
Nordstrand – Pellworm,foreign,,way,14584931,
Nordöleden (Göteborg),foreign,,way,16794766,
Nordöleden (Göteborg),foreign,,way,341893592,
Nordöleden (Göteborg),foreign,,way,436150291,
Priwallfähre,foreign,,relation,2012612,
Priwallfähre,foreign,,relation,2012613,
Priwallfähre,foreign,,way,5000795,
Priwallfähre,foreign,,way,132175368,
Przeprawa karsiborska,foreign,,way,200818722,
Przeprawa karsiborska,foreign,,way,200818728,
Ribnitz-Damgarten – Wustrow,foreign,,relation,7325863,
Risør – Øysang,foreign,,relation,19413846,
Rostock Gehlsdorf – Kabutzenhof,foreign,,relation,56291,
Rostock Gehlsdorf – Kabutzenhof,foreign,,relation,18697710,
Rostock Gehlsdorf – Kabutzenhof,foreign,,relation,18697711,
Rostock Gehlsdorf – Kabutzenhof,foreign,,way,25715761,
Rostock – Trelleborg,foreign,,relation,222349,
Rostock – Trelleborg,foreign,,way,13976956,
Rostock – Trelleborg (TT-Line),foreign,,relation,18532753,
Rostock – Trelleborg (TT-Line),foreign,,way,690694736,
Rönnäng – Dyrön – Åstol,foreign,,relation,7041044,
Rönnäng – Dyrön – Åstol,foreign,,way,40768883,
Rönnäng – Dyrön – Åstol,foreign,,way,335383904,
Rönnäng – Dyrön – Åstol,foreign,,way,1498938653,
Rügen – Hiddensee (unnamed),foreign,,relation,8872339,
Rügen – Hiddensee (unnamed),foreign,,relation,8872340,
Rügen – Hiddensee (unnamed),foreign,,relation,8872341,
Saltholmen – Brännö Husvik (Göteborg),foreign,,relation,3177990,
Saltholmen – Brännö Husvik (Göteborg),foreign,,relation,3177991,
Saltholmen – Brännö Husvik (Göteborg),foreign,,way,28561819,
Saltholmen – Brännö Husvik (Göteborg),foreign,,way,40782315,
Saltholmen – Brännö Husvik (Göteborg),foreign,,way,141622981,
Saltholmen – Brännö Husvik (Göteborg),foreign,,way,236165129,
Saltholmen – Brännö Rödsten (Göteborg),foreign,,relation,3178013,
Saltholmen – Brännö Rödsten (Göteborg),foreign,,relation,3178014,
Saltholmen – Brännö Rödsten (Göteborg),foreign,,way,32865986,
Saltholmen – Brännö Rödsten (Göteborg),foreign,,way,77350926,
Saltholmen – Brännö Rödsten (Göteborg),foreign,,way,236164182,
Saltholmen – Brännö Rödsten (Göteborg),foreign,,way,236164189,
Saltholmen – Vrångö (Göteborg),foreign,,relation,3177973,
Saltholmen – Vrångö (Göteborg),foreign,,relation,3177974,
Saltholmen – Vrångö (Göteborg),foreign,,way,36969993,
Saltholmen – Vrångö (Göteborg),foreign,,way,47200585,
Saltholmen – Vrångö (Göteborg),foreign,,way,236164180,
Saltholmen – Vrångö (Göteborg),foreign,,way,236164187,
Saltholmen – Vrångö (Göteborg),foreign,,way,236164190,
Saltholmen – Vrångö (Göteborg),foreign,,way,236164191,
Saltholmen – Vrångö (Göteborg),foreign,,way,236164192,
Saltholmen – Vrångö (Göteborg),foreign,,way,1087026935,
Sassnitz – Binz – Sellin,foreign,,relation,1589517,
Sassnitz – Binz – Sellin,foreign,,way,37694145,
Sassnitz – Binz – Sellin,foreign,,way,46244985,
Schaprode – Kloster (Hiddensee),foreign,,relation,94331,
Schaprode – Neuendorf (Hiddensee),foreign,,relation,94330,
Schaprode – Neuendorf (Hiddensee),foreign,,way,27692590,
Schaprode – Vitte (Hiddensee),foreign,,relation,94332,
Schleifähre Missunde,foreign,,way,25000064,
Schlüttsiel – Gröde,foreign,,way,132084327,
Schlüttsiel – Gröde,foreign,,way,132084328,
Schlüttsiel – Hooge – Langeneß,foreign,,relation,16192266,
Schlüttsiel – Hooge – Langeneß,foreign,,relation,16192267,
Schlüttsiel – Hooge – Langeneß,foreign,,way,145079129,
Schlüttsiel – Hooge – Langeneß,foreign,,way,939233432,
Schlüttsiel – Hooge – Langeneß,foreign,,way,939266467,
Schlüttsiel – Oland,foreign,,way,26730772,
Schnatermann – Markgrafenheide,foreign,,relation,8872332,
Schwebefähre Rendsburg,foreign,,way,24676774,
Schwentinelinie F2 (Kiel),foreign,,relation,1957711,
Schwentinelinie F2 (Kiel),foreign,,way,144682004,
Schwentinelinie F2 (Kiel),foreign,,way,314082413,
Sellin – Göhren,foreign,,relation,1116841,
Sellin – Göhren,foreign,,way,25715550,
Skåtøyroa – Tangane,foreign,,way,1230684681,
Stabbestad – Skåtøyroa,foreign,,way,1230684683,
Stahlbrode – Glewitz,foreign,,relation,214730,
Stahlbrode – Glewitz,foreign,,way,5190665,
Stralsund – Hiddensee,foreign,,relation,216446,
Sturköpendeln (Karlskrona),foreign,,relation,14608125,
Sturköpendeln (Karlskrona),foreign,,way,1096911671,
Svanesundsleden,foreign,,relation,7840290,
Svanesundsleden,foreign,,way,26788896,
Travemünde Nordermole,foreign,,way,26507187,
Travemünde – Malmö,foreign,,relation,5587469,
Travemünde – Malmö,foreign,,way,1212750573,
Travemünde – Rostock,foreign,,relation,8872328,
Travemünde – Rostock,foreign,,way,533470203,
Travemünde – Trelleborg,foreign,,relation,953335,
Travemünde – Trelleborg,foreign,,relation,16542161,
Travemünde – Trelleborg,foreign,,way,239309340,
Trelleborg – Karlshamn,foreign,,way,1139737055,
Trelleborg – Klaipeda,foreign,,relation,8356994,
Warnemünde – Hohe Düne,foreign,,relation,56296,
Warnemünde – Hohe Düne,foreign,,way,15701714,
Weserfähre Bremerhaven – Nordenham,foreign,,relation,8855858,
Weserfähre Bremerhaven – Nordenham,foreign,,way,158331516,
Wismar – Poel (unnamed),foreign,,relation,8872326,
Wittdün – Hooge,foreign,,way,156966256,a different pair from Wyk – Hooge; kept as its own line
Wittower Fähre,foreign,,relation,214694,
Wittower Fähre,foreign,,way,7977435,
Wyk – Hooge,foreign,,way,831764997,
Wyk – Wittdün,foreign,,way,59576967,
Zingst – Hiddensee,foreign,,relation,8872336,
Älvsnabbare (Göteborg),foreign,,relation,365465,
Älvsnabbare (Göteborg),foreign,,relation,3178032,
Älvsnabbare (Göteborg),foreign,,way,485197097,
Älvsnabbare (Göteborg),foreign,,way,733390174,
Älvsnabben (Göteborg),foreign,,relation,367036,
Älvsnabben (Göteborg),foreign,,relation,3178031,
Älvsnabben (Göteborg),foreign,,way,46593679,
Öckerö – Grötö (Göteborg),foreign,,relation,6980308,
Öckerö – Grötö (Göteborg),foreign,,relation,6980359,
Öckerö – Grötö (Göteborg),foreign,,way,261426455,
Öckerö – Grötö (Göteborg),foreign,,way,474600164,
Östra skärgården (Karlskrona),foreign,,relation,214909,
Świnoujście – Latarnia Morska,foreign,,way,1190787188,
Świnoujście – Malmö,foreign,,relation,18546006,
Świnoujście – Trelleborg,foreign,,relation,1258873,
Świnoujście – Trelleborg,foreign,,relation,18532752,
Świnoujście – Trelleborg,foreign,,way,139931346,
Świnoujście – Warszów,foreign,,relation,11487504,
Świnoujście – Warszów,foreign,,way,557954438,
Świnoujście – Ystad,foreign,,relation,1258874,
Świnoujście – Ystad,foreign,,way,30349022,
Świnoujście – Ystad,foreign,,way,1094106766,
Frederikshavn havn (harbour leg),harbour,,way,1090884525,intra-harbour leg between two Stena berths in Frederikshavn; all 205 of its crossings are under 1 km. Not a service — it clears the 200-crossing floor only because the berths are more than 100 m apart
Kalvsund harbour leg (a),harbour,,way,1085653368,"intra-harbour leg at Kalvsund: 956 crossings, 950 under 1 km, median 0.089 NM (165 m). One of the two OSM ways of the same ~130 m link; kept as its own label"
Kalvsund harbour leg (b),harbour,,way,1085653369,"intra-harbour leg at Kalvsund: 225 crossings, 210 under 1 km, median 0.185 NM (343 m). The other OSM way of the same ~130 m link as (a); kept as its own label"
Ystad harbour leg,harbour,,way,1094196406,"intra-harbour leg inside Ystad tagged with the OSM name of the long line; all 690 of its crossings are under 1 km. Folded into Świnoujście – Ystad it put them into a 93 NM crossing; separated, that line is back to 4 903 crossings / 925 under 1 km"
Öckerö harbour leg,harbour,,way,24329730,"intra-harbour leg in the Öckerö basin: 30 984 crossings, 30 982 of them under 1 km, median 0.058 NM (107 m). This is what was polluting Öckerö – Grötö, not way 474600164"
Frederikshavn – Göteborg,international,,relation,945627,
Frederikshavn – Göteborg,international,,relation,9638589,
Frederikshavn – Göteborg,international,,relation,16200737,
Frederikshavn – Göteborg,international,,way,693547643,
Gedser – Rostock,international,,relation,215948,
Gedser – Rostock,international,,relation,10744528,
Gedser – Rostock,international,,way,1349018822,
Helsingør – Helsingborg,international,,relation,452733,
Helsingør – Helsingborg,international,,way,4066778,
Helsingør – Helsingborg,international,,relation,10744905,
Helsingør – Helsingborg,international,,relation,10744906,
Helsingør – Helsingborg,international,,relation,20202075,
Helsingør – Helsingborg,international,,way,150208446,
Helsingør – Helsingborg,international,,way,1476699074,
Hirtshals – Kristiansand,international,,relation,950810,
Hirtshals – Kristiansand,international,,relation,10705648,
Hirtshals – Kristiansand,international,,way,230310229,
København – Ven,international,,relation,2912159,
København – Ven,international,,relation,6014342,
København – Ven,international,,way,220211717,
Rødby – Puttgarden,international,,relation,6046782,
Rødby – Puttgarden,international,,relation,6046783,
Rødby – Puttgarden,international,,way,47681503,
Rødby – Puttgarden,international,,way,1280194263,
Sønderborg – Langballigau,international,,way,619580540,
Aalborg – Egholm,island,Egholm,way,32434355,
Aarøsund – Aarø,island,Aarø,way,55507520,
Assens – Baagø,island,Baagø,way,58369320,
Barsø Landing – Barsø,island,Barsø,way,35367447,
Branden – Fur,island,Fur,way,32820722,
Esbjerg – Nordby,island,Fanø,way,112654387,
Faaborg – Bjørnø,island,Bjørnø,way,25844837,
Faaborg – Lyø – Avernakø,island,Lyø/Avernakø,relation,451345,
Faaborg – Lyø – Avernakø,island,Lyø/Avernakø,way,36973884,
Faaborg – Lyø – Avernakø,island,Lyø/Avernakø,way,141509964,
Faaborg – Lyø – Avernakø,island,Lyø/Avernakø,way,141509969,
Frederikshavn – Hirsholmene,island,Hirsholmene,way,81669609,
Frederikshavn – Vesterø Havn,island,Læsø,way,61113290,
Frederikshavn – Vesterø Havn,island,Læsø,way,1101074036,
Grenaa – Anholt,island,Anholt,way,57780910,
Gudhjem – Christiansø,island,Bornholm,relation,14316162,"Ertholmene, served from Bornholm; grouped with Bornholm per the S8 review"
Gudhjem – Christiansø,island,Bornholm,way,55507652,"Ertholmene, served from Bornholm; grouped with Bornholm per the S8 review"
Havnsø – Nekselø,island,Nekselø,way,64605438,
Havnsø – Sejerø,island,Sejerø,way,112655435,
Holbæk – Orø,island,Orø,way,140642692,
Hou – Sælvig,island,Samsø,way,38192155,
Hou – Tunø,island,Tunø,way,52448323,
Kalundborg – Ballen,island,Samsø,way,392728788,
Kleppen – Venø,island,Venø,way,25029370,
Kragenæs – Askø,island,Askø,way,1372762764,
Kragenæs – Fejø,island,Fejø,way,94140998,
Kragenæs – Femø,island,Femø,way,93357485,
Køge – Rønne,island,Bornholm,relation,14308149,
Køge – Rønne,island,Bornholm,way,157082988,
Marstal – Rudkøbing,island,Ærø,way,766352393,
Rudkøbing – Strynø,island,Strynø,way,44443564,
Rønbjerg – Livø,island,Livø,way,93938467,
Sassnitz – Rønne,island,Bornholm,relation,1589511,"DE-DK, grouped with Bornholm because the line is a Bornholm lifeline"
Sassnitz – Rønne,island,Bornholm,way,138471072,"DE-DK, grouped with Bornholm because the line is a Bornholm lifeline"
Snaptun – Endelave,island,Endelave,way,29243611,
Snaptun – Hjarnø,island,Hjarnø,way,25836273,
Stigsnæs – Agersø,island,Agersø,way,96542901,
Stigsnæs – Omø,island,Omø,way,96622965,
Svendborg – Skarø – Drejø,island,Skarø/Drejø,relation,1356670,
Svendborg – Skarø – Drejø,island,Skarø/Drejø,way,93308405,
Svendborg – Ærøskøbing,island,Ærø,way,33847154,
Søby – Faaborg,island,Ærø,way,172009892,
Søby – Fynshav,island,Ærø,way,171896489,
Ystad – Rønne,island,Bornholm,relation,1258871,"DK-SE, grouped with Bornholm because the line is a Bornholm lifeline"
Ystad – Rønne,island,Bornholm,way,122285824,"DK-SE, grouped with Bornholm because the line is a Bornholm lifeline"
